No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3}
535,12/11/2019 14:00,51.3859,21.5175,209.8083,154.0051,112.3139,3.6375,47.7484,803.0382,100.934
536,12/11/2019 15:00,86.7879,17.7447,183.055,147.2982,94.8165,8.112,78.6759,668.1944,81.9664
537,12/11/2019 16:00,54.2007,13.1953,199.3142,161.8492,91.7928,2.1004,52.1003,692.9861,76.2559
538,12/11/2019 17:00,94.1918,9.6982,205.1488,204.7746,112.0427,3.5996,90.5922,973.4549,91.5864
539,12/11/2019 18:00,151.2598,9.4793,136.2344,330.7088,141.967,5.9636,145.2962,1220.3125,104.4761
540,12/11/2019 19:00,133.7489,8.5105,115.1139,347.1551,178.5447,6.5761,127.1728,1480.5557,144.0205
541,12/11/2019 20:00,96.4748,8.4128,80.7381,249.0121,159.9097,4.4242,92.0506,1303.698,138.6176
542,12/11/2019 21:00,102.7307,6.7909,34.6687,217.1979,140.7887,7.8662,94.8646,1099.6006,122.8807
543,12/11/2019 22:00,110.6137,6.868,18.5352,174.1888,136.2423,9.3044,101.3093,1049.1493,123.0446
544,12/11/2019 23:00,96.6326,8.1152,14.9141,165.0672,134.6636,7.8881,88.7445,1163.8022,122.4469
545,00:00 13/11/2019,105.6509,15.3769,9.8709,169.519,143.2471,10.3321,95.3187,1144.3403,129.84
546,01:00 13/11/2019,124.2645,17.9358,8.2547,172.925,146.0101,20.8953,103.3692,1053.2811,129.6105
547,02:00 13/11/2019,152.1115,23.1414,7.5344,156.5651,130.483,46.814,105.2975,999.6701,114.9414
548,03:00 13/11/2019,122.4186,24.3759,8.0223,130.6707,109.9255,25.3796,97.0389,804.618,98.4812
549,04:00 13/11/2019,87.0928,18.2321,11.4689,80.9491,67.549,6.3963,80.6965,480.8854,58.9885
550,05:00 13/11/2019,64.9764,15.2666,14.2398,69.6137,55.7064,6.5275,58.4489,467.9861,48.8433
551,06:00 13/11/2019,53.9778,11.5711,17.6544,69.1712,57.4085,4.2459,49.7319,501.5972,51.0398
552,07:00 13/11/2019,67.4248,9.5862,17.2675,72.6889,61.0464,10.4477,56.9771,767.8471,54.73
553,08:00 13/11/2019,113.5532,13.6319,11.1168,133.5792,107.114,41.2333,72.3199,1309.6701,96.767
554,09:00 13/11/2019,88.6336,15.1354,11.4168,129.6862,98.4106,35.9237,52.7099,1277.6217,88.9736
555,10:00 13/11/2019,172.0544,14.6579,14.3646,315.1164,242.8649,69.6625,102.3919,2281.632,213.9805
556,11:00 13/11/2019,94.9412,16.5364,18.9182,288.2272,223.1788,21.0574,73.8838,1737.448,199.5504
557,12:00 13/11/2019,75.5,11.8178,20.2969,136.9605,110.3208,21.9269,53.5732,1045.3993,99.2685
558,13:00 13/11/2019,97.2244,10.8128,26.6738,74.5681,60.552,31.8265,65.3979,849.4792,54.1651
559,14:00 13/11/2019,66.9494,19.3106,34.0451,69.5832,44.4757,16.152,50.7974,571.7708,38.4729
560,15:00 13/11/2019,119.7391,25.3654,25.7964,95.6983,36.1371,43.2935,76.4456,469.3924,25.8568
561,16:00 13/11/2019,82.1455,18.0955,27.6215,101.5823,29.0462,23.5654,58.5801,390.7639,16.2462
562,17:00 13/11/2019,106.8717,10.3623,24.0349,215.3763,134.1411,35.012,71.8598,1170.7466,119.1834
563,18:00 13/11/2019,94.6091,11.9187,18.7852,132.5445,57.1213,24.9192,69.6899,695.0347,41.9118
564,19:00 13/11/2019,70.6894,11.3975,25.8446,151.2229,101.4682,10.9534,59.736,974.5138,87.798
565,20:00 13/11/2019,30.038,8.8295,24.4004,62.6896,47.922,5.4382,24.5998,540.9201,42.2343
566,21:00 13/11/2019,25.2095,7.1285,26.6053,35.1327,23.4942,5.6001,19.6094,403.8889,20.4482
567,22:00 13/11/2019,14.6394,7.6759,41.1304,25.2687,10.8986,2.1853,12.4541,515.9375,7.6674
568,23:00 13/11/2019,15.656,6.1577,38.6776,20.8743,11.9241,2.8013,12.8546,546.6146,9.3576
569,00:00 14/11/2019,10.5318,5.8408,41.012,18.0224,14.4225,1.2471,9.2847,550.6944,13.1188
570,01:00 14/11/2019,10.6377,5.5218,38.9725,22.293,18.0688,1.0324,9.6053,583.7847,16.1904
571,02:00 14/11/2019,18.3418,5.716,36.4715,235.1176,202.8796,2.4678,15.874,902.3958,174.218
572,03:00 14/11/2019,16.5597,5.8273,38.1394,170.5532,151.6538,2.5894,13.9703,672.3958,135.6594
573,04:00 14/11/2019,29.0729,7.2215,38.5954,588.3597,510.043,8.2607,20.8122,776.5972,438.6936
574,05:00 14/11/2019,30.5999,9.5067,37.8945,695.393,589.2594,8.7534,21.8466,1132.7605,489.6619
575,06:00 14/11/2019,23.3708,9.8936,40.539,520.4785,450.1072,5.9937,17.3771,601.3889,372.6376
576,07:00 14/11/2019,25.9478,14.9832,42.6481,130.6954,107.8721,5.2601,20.6878,624.0625,92.9823
577,08:00 14/11/2019,33.8189,15.5644,25.8985,35.1312,27.6587,8.4083,25.4105,724.8611,25.64
578,09:00 14/11/2019,101.3809,12.1157,19.3075,47.6138,39.1831,49.2478,52.1331,1017.4479,35.9638
579,10:00 14/11/2019,130.1454,20.2921,18.1075,34.8389,27.3721,62.1617,67.9837,964.1146,24.6648
580,11:00 14/11/2019,160.4392,26.4431,14.7888,46.1043,36.1824,83.4807,76.9585,865.2778,32.92
581,12:00 14/11/2019,118.4312,32.8459,21.6863,52.6989,34.6477,50.086,68.3451,849.0277,30.6147
582,13:00 14/11/2019,150.0923,32.2219,16.4728,46.8435,27.7005,72.2137,77.8786,960.7291,23.3538
583,14:00 14/11/2019,92.4898,23.1255,28.8763,44.5656,24.494,33.5357,58.9541,736.0764,19.2819
584,15:00 14/11/2019,64.8548,19.7388,45.5938,58.9288,24.4101,17.5255,47.3293,719.5313,18.8215
585,16:00 14/11/2019,67.695,21.5001,47.9758,84.0276,31.7293,17.0614,50.6337,1170.8854,22.9362
586,17:00 14/11/2019,155.9991,25.0894,17.2607,163.6122,56.5349,65.7806,90.2185,3041.4758,39.128
587,18:00 14/11/2019,186.5679,30.6485,12.9309,159.0474,59.9778,90.4535,96.1144,1804.6528,42.4313
588,19:00 14/11/2019,169.1589,19.7789,12.1904,125.2228,49.3196,78.5145,90.6444,1695,36.204
589,20:00 14/11/2019,132.4571,15.0944,9.7709,104.5554,45.7044,52.844,79.613,1570.5903,34.4088
590,21:00 14/11/2019,134.7768,11.6398,4.4045,149.3986,50.2596,53.6361,81.1407,1694.4792,33.3862
591,22:00 14/11/2019,86.9753,11.4535,8.2092,90.9553,44.5163,17.7423,69.2329,1377.5348,34.3476
592,23:00 14/11/2019,78.7662,10.4144,9.7349,95.2732,63.7524,17.8155,60.9507,1183.7848,56.3343
593,00:00 15/11/2019,73.0565,10.0585,7.7773,96.6527,63.0663,10.7202,62.3363,1190.4687,55.0297
594,01:00 15/11/2019,52.3525,10.1574,12.947,81.3922,62.6597,3.2391,49.1134,957.5347,56.1595
595,02:00 15/11/2019,40.1554,8.7842,16.7958,58.2349,42.8187,2.4505,37.7049,723.8368,37.5939
