No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3},,,,,,,,,
90,21:00 09/11/2019,103.0368,27.8739,13.4714,538.2488,406.3217,6.0443,96.9925,2103.0381,336.4745,,,,,,,,,
91,22:00 09/11/2019,60.0594,26.3636,12.5178,443.0842,338.91,5.4624,54.597,2059.0277,285.7867,,,,,,,,,
92,23:00 09/11/2019,58.9259,57.6969,19.0281,415.0384,318.2768,4.8489,54.077,2637.8994,273.7486,,,,,,,,,
93,00:00 10/11/2019,40.7812,63.7812,26.5589,371.6166,266.4105,1.3253,39.4559,1980.5902,227.8739,,,,,,,,,
94,01:00 10/11/2019,43.9715,121.2354,25.8559,268.4984,209.3161,5.5811,38.3904,1669.8438,182.5187,,,,,,,,,
95,02:00 10/11/2019,63.223,126.6539,4.8798,310.177,252.2783,8.3741,54.8489,1695.677,217.6531,,,,,,,,,
96,03:00 10/11/2019,60.563,76.4561,6.3519,256.1159,203.169,11.0993,49.4637,1293.3506,176.3277,,,,,,,,,
97,04:00 10/11/2019,35.5835,49.1416,7.5103,188.2501,146.1651,2.1535,33.43,1118.9411,125.3622,,,,,,,,,
98,05:00 10/11/2019,28.4316,35.8712,11.421,232.7138,187.3521,0.8723,27.5593,1368.9583,155.0969,,,,,,,,,
99,06:00 10/11/2019,32.6624,37.8469,10.5257,315.3219,262.7636,1.4829,31.1794,1672.4827,221.6045,,,,,,,,,
100,07:00 10/11/2019,38.7103,41.1061,6.5594,265.9052,227.1496,3.8043,34.906,1699.3751,197.1169,,,,,,,,,
101,08:00 10/11/2019,46.1765,49.3255,7.0023,234.3219,191.2235,13.3308,32.8457,1572.1702,164.024,,,,,,,,,
102,09:00 10/11/2019,35.0412,-1606.4331,-1657.7137,238.3642,187.2615,-1655.824,-1642.1348,-214.6724,156.1367,,,,,,,,,
103,10:00 10/11/2019,27.9003,102.1324,40.8123,172.1054,130.5752,4.0831,23.8173,1147.7493,112.8134,,,,,,,,,
104,11:00 10/11/2019,19.6909,95.4758,90.8965,140.8433,104.8214,1.3023,18.3886,658.6287,93.0238,,,,,,,,,
105,12:00 10/11/2019,16.9238,74.4991,162.012,92.7264,67.7983,5.4179,11.5059,475.7477,60.236,,,,,,,,,
106,13:00 10/11/2019,0.9243,-9163.1692,-9149.8841,87.3333,61.6122,-9165.75,-9164.8257,-9125.7202,54.6021,,,,,,,,,
107,14:00 10/11/2019,7.5911,-2475.3779,-2341.9127,81.3277,60.265,-2499.7449,-2492.164,-2167.4914,53.6244,,,,,,,,,
108,15:00 10/11/2019,4.0749,-6655.2205,-6598.5928,82.1477,54.9121,-6665.9743,-6661.9508,-6548.3686,48.1115,,,,,,,,,
109,16:00 10/11/2019,11.5026,34.6418,202.5947,78.8499,50.0998,0.0495,11.453,354.9479,43.5061,,,,,,,,,
110,17:00 10/11/2019,5.1787,-6651.325,-6596.8754,97.9144,58.4356,-6665.9583,-6660.863,-6530.3576,50.3448,,,,,,,,,
111,18:00 10/11/2019,0.0,-9999.0,-9999.0,106.0134,57.8265,-9999.0,-9999.0,-9999.0,48.6884,,,,,,,,,
112,19:00 10/11/2019,0.0,-9999.0,-9999.0,352.4488,211.6019,-9999.0,-9999.0,-9999.0,175.1544,,,,,,,,,
113,20:00 10/11/2019,36.8242,-2472.3842,-2457.6313,404.8222,291.972,-2498.1206,-2464.5551,-1449.5647,250.9323,,,,,,,,,
114,21:00 10/11/2019,46.2395,26.9893,53.4758,232.1687,157.5059,0.7029,45.5366,1141.9847,135.8798,,,,,,,,,
115,22:00 10/11/2019,0.0,-9999.0,-9999.0,428.1207,344.8372,-9999.0,-9999.0,-9999.0,303.2369,,,,,,,,,
116,02:00 11/11/2019,0.0,-9999.0,-9999.0,287.8231,229.1015,-9999.0,-9999.0,-9999.0,199.8265,,,,,,,,,
117,03:00 11/11/2019,0.0,-9999.0,-9999.0,324.1509,263.0133,-9999.0,-9999.0,-9999.0,224.5854,,,,,,,,,
118,04:00 11/11/2019,0.0,-9999.0,-9999.0,302.2317,246.2052,-9999.0,-9999.0,-9999.0,212.3228,,,,,,,,,
119,05:00 11/11/2019,0.0,-9999.0,-9999.0,241.6695,199.982,-9999.0,-9999.0,-9999.0,171.9557,,,,,,,,,
120,06:00 11/11/2019,0.0,-9999.0,-9999.0,167.0989,136.4633,-9999.0,-9999.0,-9999.0,116.4874,,,,,,,,,
121,07:00 11/11/2019,0.0,-9999.0,-9999.0,198.0629,166.8394,-9999.0,-9999.0,-9999.0,139.4805,,,,,,,,,
122,08:00 11/11/2019,0.0,-9999.0,-9999.0,188.782,155.0181,-9999.0,-9999.0,-9999.0,131.2671,,,,,,,,,
123,09:00 11/11/2019,5.6434,-8321.5228,-8330.7313,229.3216,182.2309,-8330.8875,-8328.469,-8068.3318,153.8586,,,,,,,,,
124,10:00 11/11/2019,32.4757,79.1346,20.6371,188.8489,146.5802,7.6959,24.7798,1383.7674,127.8929,,,,,,,,,
125,11:00 11/11/2019,22.4332,-3272.4701,-3301.8744,170.3635,126.4012,-3329.1587,-3314.4082,-2503.7466,110.6418,,,,,,,,,
126,12:00 11/11/2019,0.0,-9999.0,-9999.0,153.9554,114.8735,-9999.0,-9999.0,-9999.0,100.8689,,,,,,,,,
127,13:00 11/11/2019,20.8752,35.8869,166.2747,140.2994,107.1116,0.516,20.3592,649.2046,94.9604,,,,,,,,,
128,14:00 11/11/2019,11.5655,38.7768,208.3652,98.6226,73.6594,0.0475,11.518,530.2462,65.5047,,,,,,,,,
129,15:00 11/11/2019,9.1872,32.1351,222.7683,88.893,64.5787,0.0276,9.1596,486.0796,57.0704,,,,,,,,,
130,16:00 11/11/2019,8.0237,36.0906,217.4832,79.3076,56.5936,0.0082,8.0155,405.9624,49.4706,,,,,,,,,
131,17:00 11/11/2019,8.4548,48.747,217.7933,91.8089,60.7693,0.0207,8.4341,403.6081,50.7438,,,,,,,,,
132,18:00 11/11/2019,0.0,-9999.0,-9999.0,115.0369,58.4205,-9999.0,-9999.0,-9999.0,47.1265,,,,,,,,,
133,19:00 11/11/2019,0.0,-9999.0,-9999.0,269.9197,132.2305,-9999.0,-9999.0,-9999.0,104.364,,,,,,,,,
134,20:00 11/11/2019,11.9855,-8165.2804,-8168.3339,359.1151,226.932,-8180.9277,-8169.0868,-7749.3902,196.2305,,,,,,,,,
135,21:00 11/11/2019,5.2432,-9157.6181,-9159.0888,413.3934,279.4724,-9165.7411,-9160.5157,-8964.0833,244.855,,,,,,,,,
136,22:00 11/11/2019,0.0,-9999.0,-9999.0,558.1883,421.6553,-9999.0,-9999.0,-9999.0,366.7294,,,,,,,,,
