No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3},,,,,,,,,
393,14:00 23/11/2019,15.9774,54.1116,182.0904,198.116,158.0634,0.0061,15.9713,628.4201,139.2913,,,,,,,,,
394,15:00 23/11/2019,16.524,56.742,184.098,194.1365,146.9167,0.0013,16.5227,570.7812,123.0922,,,,,,,,,
395,16:00 23/11/2019,25.1303,67.0849,158.8511,227.3244,172.0371,0.0195,25.1107,657.5347,148.4658,,,,,,,,,
396,17:00 23/11/2019,28.2239,75.4138,154.5014,346.2685,280.9395,0.1184,28.1056,725.0694,239.644,,,,,,,,,
397,18:00 23/11/2019,24.4212,65.1246,151.0514,217.6401,169.8435,0.0117,24.4095,794.4444,148.4482,,,,,,,,,
398,19:00 23/11/2019,23.3569,50.9378,139.6605,213.2925,145.4067,0.0026,23.3543,721.9271,112.5857,,,,,,,,,
399,20:00 23/11/2019,25.5438,31.7925,123.321,161.0686,118.7232,0.0,25.5438,789.9132,102.071,,,,,,,,,
400,21:00 23/11/2019,19.689,18.0696,134.2616,123.6001,91.6899,0.0,19.689,640.1389,79.2021,,,,,,,,,
401,22:00 23/11/2019,20.3644,20.9046,127.1561,124.3658,95.6441,0.0007,20.3637,641.4757,83.1565,,,,,,,,,
402,23:00 23/11/2019,18.5285,23.858,128.1401,106.9028,83.5591,0.0,18.5285,637.7431,73.2627,,,,,,,,,
403,00:00 24/11/2019,21.8363,29.0516,106.9226,121.6858,94.1115,0.0022,21.834,748.8021,81.9721,,,,,,,,,
404,01:00 24/11/2019,20.7312,33.2658,94.6358,138.2074,110.5444,0.0004,20.7309,802.1701,96.0808,,,,,,,,,
405,02:00 24/11/2019,17.2736,33.4608,99.6028,122.606,97.0372,0.0,17.2736,728.5417,83.9445,,,,,,,,,
406,03:00 24/11/2019,15.3175,34.1182,85.2152,113.4186,87.85,0.0004,15.3171,730.7465,76.5478,,,,,,,,,
407,04:00 24/11/2019,16.7458,28.1162,67.2414,132.8685,105.3253,0.0,16.7458,684.5139,91.2213,,,,,,,,,
408,05:00 24/11/2019,17.2671,23.0067,67.2384,103.5998,78.632,0.0009,17.2662,675.5903,68.4607,,,,,,,,,
409,06:00 24/11/2019,32.6361,28.8363,45.414,129.0684,96.4295,0.0785,32.5576,1066.7362,82.7911,,,,,,,,,
410,07:00 24/11/2019,41.008,38.7514,33.3391,196.349,152.4588,0.3733,40.6347,1161.7359,130.9271,,,,,,,,,
411,08:00 24/11/2019,42.0181,50.2701,29.6228,389.7834,288.799,1.0476,40.9705,1293.7673,210.3764,,,,,,,,,
412,09:00 24/11/2019,42.0755,57.8828,31.5375,463.7284,339.3908,2.6906,39.3849,1075.955,249.9518,,,,,,,,,
413,10:00 24/11/2019,44.1015,60.3702,44.6235,250.3486,179.0386,5.092,39.0095,695.3472,136.5716,,,,,,,,,
414,11:00 24/11/2019,40.0519,86.6739,59.1661,195.0152,144.8169,4.1782,35.8737,619.7222,122.7119,,,,,,,,,
415,12:00 24/11/2019,25.4541,74.1113,92.6684,144.2286,110.567,1.3675,24.0866,420.0,96.2521,,,,,,,,,
416,13:00 24/11/2019,21.6738,42.7189,115.427,127.3547,95.9942,0.3441,21.3296,381.6667,83.3378,,,,,,,,,
417,14:00 24/11/2019,15.6391,50.0421,126.8409,130.2829,99.8569,0.0789,15.5602,324.2708,88.8581,,,,,,,,,
418,15:00 24/11/2019,14.7739,52.7714,133.7872,172.2579,133.3659,0.0413,14.7326,374.184,112.8814,,,,,,,,,
419,16:00 24/11/2019,21.3122,59.807,132.9205,168.3366,119.3667,0.4418,20.8704,340.7465,100.5392,,,,,,,,,
420,17:00 24/11/2019,19.1895,59.9953,131.2873,160.6458,111.0788,0.0878,19.1016,323.2292,93.4159,,,,,,,,,
421,18:00 24/11/2019,22.0051,65.6005,110.2612,157.119,108.7666,0.1292,21.876,462.934,92.3439,,,,,,,,,
422,19:00 24/11/2019,21.7592,58.2221,94.3914,155.056,118.2533,0.0002,21.759,596.4931,100.3099,,,,,,,,,
423,20:00 24/11/2019,18.9424,36.6731,80.9161,138.2134,106.2946,0.0,18.9424,576.0069,90.2353,,,,,,,,,
424,21:00 24/11/2019,20.7174,26.8486,74.2344,105.329,74.5123,0.0,20.7174,549.4444,60.7339,,,,,,,,,
425,22:00 24/11/2019,18.6241,27.8556,66.333,94.6599,66.2232,0.0009,18.6232,527.7778,54.6592,,,,,,,,,
426,23:00 24/11/2019,15.4135,29.7639,65.5475,84.6089,65.1057,0.0006,15.413,425.2257,53.4083,,,,,,,,,
427,00:00 25/11/2019,16.9182,37.0588,49.5476,51.9659,35.7206,0.0035,16.9147,500.2257,28.3662,,,,,,,,,
428,01:00 25/11/2019,18.6905,45.1248,39.7032,61.9826,46.9619,0.006,18.6846,605.6424,38.1638,,,,,,,,,
429,02:00 25/11/2019,25.5717,48.5417,25.666,93.6672,66.6237,0.0761,25.4956,535.6944,54.7041,,,,,,,,,
430,03:00 25/11/2019,51.2402,51.702,7.952,92.5662,66.2806,5.816,45.4242,498.941,54.7639,,,,,,,,,
431,04:00 25/11/2019,67.7671,46.2776,7.4344,95.8714,62.3024,15.0244,52.7427,498.1076,48.9096,,,,,,,,,
432,05:00 25/11/2019,67.1183,37.6185,11.6133,91.4853,61.1281,24.4775,42.6408,478.9063,47.1933,,,,,,,,,
433,06:00 25/11/2019,47.54,41.4895,14.142,92.5136,68.4753,6.1984,41.3416,462.6736,55.3471,,,,,,,,,
434,07:00 25/11/2019,46.9333,45.2087,11.096,97.6059,75.9433,10.0917,36.8416,445.4687,63.5346,,,,,,,,,
435,08:00 25/11/2019,54.1096,48.0512,12.1761,93.0112,72.1713,17.3134,36.7963,521.5104,61.3639,,,,,,,,,
436,09:00 25/11/2019,49.6432,60.1835,16.1133,130.1292,88.4423,14.2371,35.4061,618.4028,72.0136,,,,,,,,,
437,10:00 25/11/2019,25.9901,78.56,45.3471,170.6021,93.8702,2.6981,23.292,489.6991,70.9404,,,,,,,,,
438,11:00 25/11/2019,28.7494,88.6474,72.7841,76.7527,46.7299,3.1139,25.6355,293.0303,38.6177,,,,,,,,,
439,12:00 25/11/2019,39.5581,82.3437,82.9776,81.7068,44.0649,4.2171,35.3409,341.7235,34.0185,,,,,,,,,
440,13:00 25/11/2019,43.2505,78.3926,118.6959,77.7234,37.4558,2.6644,40.5861,247.5,27.5512,,,,,,,,,
441,14:00 25/11/2019,39.9585,88.7397,157.1965,82.5937,48.3945,0.9098,39.0487,286.0038,39.2049,,,,,,,,,
442,15:00 25/11/2019,15.504,56.9617,211.7671,73.7675,48.2734,0.0,15.504,199.5644,40.5255,,,,,,,,,
443,16:00 25/11/2019,14.5607,43.3858,206.0368,82.3793,46.0522,0.0,14.5607,226.8182,38.586,,,,,,,,,
444,17:00 25/11/2019,16.4444,42.6851,203.2155,90.9198,56.4435,0.0,16.4444,265.4167,47.8463,,,,,,,,,
445,18:00 25/11/2019,26.2514,36.2765,176.7329,101.9271,63.6553,0.3766,25.8748,322.5758,54.319,,,,,,,,,
446,19:00 25/11/2019,43.4759,37.3141,105.2485,198.2309,110.7074,0.0,43.4759,653.9583,91.929,,,,,,,,,
447,20:00 25/11/2019,46.296,47.3775,68.5784,236.3413,142.9567,0.0,46.296,735.5903,119.5522,,,,,,,,,
448,21:00 25/11/2019,77.2688,30.2528,15.5871,164.6593,121.1225,6.1482,71.1206,541.4236,100.9729,,,,,,,,,
449,22:00 25/11/2019,60.6251,32.7669,16.3675,150.7413,110.5453,2.7768,57.8483,527.1528,92.0231,,,,,,,,,
450,23:00 25/11/2019,40.9316,36.4582,27.3855,139.5872,103.8593,0.2341,40.6974,584.4792,86.9748,,,,,,,,,
451,00:00 26/11/2019,33.4809,38.747,31.1275,146.0939,106.277,0.002,33.4789,728.4635,90.6302,,,,,,,,,
452,02:00 26/11/2019,10.0192,36.001,56.1424,48.3448,35.7713,0.0,10.0192,317.4826,31.7652,,,,,,,,,
453,03:00 26/11/2019,9.6786,35.2261,47.5234,41.2789,32.2073,0.0,9.6786,334.2361,28.8568,,,,,,,,,
454,04:00 26/11/2019,9.9014,30.0618,36.6096,36.1332,26.9058,0.0,9.9014,362.5347,23.6391,,,,,,,,,
455,05:00 26/11/2019,11.2656,25.9859,34.6151,33.2611,24.8977,0.0,11.2656,413.8542,21.8032,,,,,,,,,
456,06:00 26/11/2019,13.4474,31.5617,26.6598,41.3781,31.6332,0.0,13.4474,468.0556,27.6948,,,,,,,,,
457,07:00 26/11/2019,14.1127,37.5756,23.9516,108.048,89.8215,0.0,14.1127,626.9965,76.9656,,,,,,,,,
458,08:00 26/11/2019,17.1991,43.992,20.5761,156.9516,131.3053,0.0445,17.1546,763.4722,112.8253,,,,,,,,,
459,09:00 26/11/2019,22.0689,47.7776,23.086,126.1014,83.6996,1.566,20.503,613.8068,65.1427,,,,,,,,,
460,10:00 26/11/2019,17.311,56.1193,43.2928,114.3571,73.2507,0.5541,16.7569,606.8371,58.6672,,,,,,,,,
461,11:00 26/11/2019,9.9198,53.9305,69.5267,71.9519,53.3382,0.0014,9.9183,502.5568,46.8485,,,,,,,,,
462,12:00 26/11/2019,10.0975,41.3305,88.3637,73.6117,55.5937,0.0077,10.0898,494.6212,49.0202,,,,,,,,,
463,13:00 26/11/2019,10.4698,27.8235,108.6683,77.013,58.8278,0.0,10.4698,482.8788,52.206,,,,,,,,,
464,14:00 26/11/2019,10.307,33.4798,118.3134,79.8774,59.6304,0.0,10.307,525.8144,52.784,,,,,,,,,
465,15:00 26/11/2019,10.2607,35.8189,116.8877,86.3356,64.7395,0.0,10.2607,546.553,57.0888,,,,,,,,,
466,16:00 26/11/2019,12.9123,41.7491,127.0299,92.8405,69.5192,0.1498,12.7625,554.1288,61.3485,,,,,,,,,
467,17:00 26/11/2019,13.8265,47.7022,128.7362,93.9796,68.3857,0.0,13.8265,537.1023,59.9222,,,,,,,,,
468,18:00 26/11/2019,15.3508,49.5625,116.6454,110.2459,76.4753,0.0,15.3508,550.9849,66.339,,,,,,,,,
469,19:00 26/11/2019,20.2322,51.3868,94.5141,136.6827,86.4408,0.0065,20.2257,656.7614,73.4296,,,,,,,,,
470,20:00 26/11/2019,30.2343,42.9061,62.412,257.652,173.5913,0.1301,30.1042,1057.197,143.1231,,,,,,,,,
471,21:00 26/11/2019,35.5252,44.7243,48.3156,339.774,269.1878,0.0,35.5252,1458.5037,237.3298,,,,,,,,,
472,22:00 26/11/2019,46.7749,46.4962,28.5899,330.2214,255.2545,0.0069,46.768,1880.5682,223.4926,,,,,,,,,
473,23:00 26/11/2019,48.3524,38.0974,20.5144,277.5835,209.7953,0.1425,48.2099,1949.034,182.5042,,,,,,,,,
474,00:00 27/11/2019,47.2438,37.1986,15.5666,235.5687,175.6201,0.4148,46.829,1253.8826,152.1216,,,,,,,,,
475,01:00 27/11/2019,78.2864,46.5942,7.8762,263.7297,191.2323,20.0492,58.2371,1221.0416,163.3129,,,,,,,,,
476,02:00 27/11/2019,79.3939,49.738,8.0583,275.0265,207.8737,25.2539,54.14,1209.735,176.4919,,,,,,,,,
477,03:00 27/11/2019,48.9259,48.8744,10.0861,212.908,167.9034,7.8581,41.0679,911.4583,145.6598,,,,,,,,,
478,04:00 27/11/2019,28.0843,40.1531,18.3165,164.1444,129.8106,0.0124,28.072,735.0,112.3175,,,,,,,,,
479,05:00 27/11/2019,23.3904,30.8754,39.1364,122.8045,98.5897,0.0,23.3904,528.5985,86.2686,,,,,,,,,
480,06:00 27/11/2019,23.1846,35.2676,36.0217,125.1709,102.5692,0.0018,23.1828,562.2917,90.0045,,,,,,,,,
481,07:00 27/11/2019,33.4941,39.6262,22.6992,151.7749,111.8727,0.0317,33.4625,663.4848,94.981,,,,,,,,,
482,08:00 27/11/2019,36.4333,48.4878,22.2625,130.6473,103.3463,0.4258,36.0076,742.5189,92.0027,,,,,,,,,
483,09:00 27/11/2019,42.1583,56.3502,25.7611,133.639,102.224,3.4998,38.6585,778.8258,89.6511,,,,,,,,,
484,10:00 27/11/2019,27.2252,63.7186,49.5887,157.4056,117.267,0.8194,26.4057,973.0303,100.0773,,,,,,,,,
485,11:00 27/11/2019,25.4281,68.4459,67.5133,172.0065,129.1558,0.6842,24.7439,1101.4015,109.376,,,,,,,,,
486,12:00 27/11/2019,16.6005,50.2485,96.1366,119.1288,89.226,0.1925,16.408,800.7576,76.3773,,,,,,,,,
487,13:00 27/11/2019,12.3432,27.6584,116.359,89.1158,68.5878,0.0008,12.3424,522.3485,59.1647,,,,,,,,,
488,14:00 27/11/2019,10.4079,25.0445,123.1702,76.048,58.9098,0.0016,10.4063,364.375,50.8698,,,,,,,,,
489,15:00 27/11/2019,12.4639,29.9815,118.5654,49.9014,38.3579,0.0372,12.4267,221.9886,32.4521,,,,,,,,,
490,16:00 27/11/2019,10.2699,31.5727,119.2885,38.6196,29.436,0.003,10.2669,190.5871,24.7803,,,,,,,,,
491,17:00 27/11/2019,10.3171,27.2844,119.0281,44.317,31.4908,0.0097,10.3073,216.0606,26.6544,,,,,,,,,
492,18:00 27/11/2019,10.6399,23.741,105.6434,42.4651,28.0264,0.0049,10.6351,203.3144,23.3563,,,,,,,,,
493,19:00 27/11/2019,25.3086,23.0503,64.2819,79.134,43.3208,0.0108,25.2978,493.8258,34.5353,,,,,,,,,
494,20:00 27/11/2019,44.5315,15.9627,38.5633,178.8707,107.1719,3.2168,41.3147,861.7046,86.1425,,,,,,,,,
495,21:00 27/11/2019,48.8972,11.1488,28.7162,178.7055,118.4331,0.6824,48.2148,980.284,97.0927,,,,,,,,,
496,22:00 27/11/2019,19.9051,19.0433,75.0524,145.6574,116.7243,0.0,19.9051,592.9924,104.1432,,,,,,,,,
497,23:00 27/11/2019,12.9393,23.3922,89.3124,80.2006,67.3339,0.0,12.9393,515.8144,60.5342,,,,,,,,,
498,00:00 28/11/2019,12.8285,24.5453,86.7477,81.369,69.6346,0.0,12.8285,516.9697,62.224,,,,,,,,,
499,01:00 28/11/2019,17.4297,28.0696,74.4202,108.1214,92.4799,0.0,17.4297,570.8144,82.2587,,,,,,,,,
500,02:00 28/11/2019,18.5181,27.7879,64.553,104.6063,87.5683,0.0,18.5181,573.447,77.3267,,,,,,,,,
501,03:00 28/11/2019,17.0529,27.8854,54.1452,87.7734,73.2227,0.0,17.0529,553.0493,65.5397,,,,,,,,,
502,04:00 28/11/2019,11.2385,23.0572,50.3696,70.4988,61.1654,0.0,11.2385,484.2992,54.0059,,,,,,,,,
503,05:00 28/11/2019,8.6862,19.1412,41.2329,41.3233,33.7747,0.0,8.6862,411.0417,29.2401,,,,,,,,,
504,06:00 28/11/2019,9.4605,24.3087,35.2222,47.5394,39.6531,0.0,9.4605,427.9545,34.1276,,,,,,,,,
505,07:00 28/11/2019,9.2101,29.1859,35.0605,40.4504,32.3898,0.0652,9.145,386.5151,28.0588,,,,,,,,,
506,08:00 28/11/2019,9.4271,35.8635,36.6735,69.1604,56.7267,0.0002,9.4269,429.9811,48.3478,,,,,,,,,
507,09:00 28/11/2019,10.0911,39.1707,37.1301,59.5978,45.1523,0.0093,10.0817,426.7045,38.2563,,,,,,,,,
508,10:00 28/11/2019,8.8805,39.9828,38.9828,68.4342,51.7308,0.0134,8.8671,418.0682,43.5766,,,,,,,,,
509,11:00 28/11/2019,7.791,39.7549,49.5189,54.8427,35.8824,0.0244,7.7666,377.2538,29.9836,,,,,,,,,
510,12:00 28/11/2019,8.1444,31.4908,58.4558,58.4968,41.0194,0.1647,7.9798,377.9545,34.3929,,,,,,,,,
511,13:00 28/11/2019,8.9929,23.3363,75.192,43.316,29.5346,0.0926,8.9004,351.2311,25.0858,,,,,,,,,
512,14:00 28/11/2019,9.2687,26.7302,78.2958,39.4967,26.6074,0.0313,9.2374,356.8182,22.6252,,,,,,,,,
513,15:00 28/11/2019,8.9651,27.9279,76.0379,38.311,21.1537,0.0128,8.9523,339.9242,17.4717,,,,,,,,,
514,16:00 28/11/2019,18.9878,30.937,69.3108,47.278,23.3839,1.6573,17.3305,360.928,18.8453,,,,,,,,,
515,17:00 28/11/2019,20.4823,32.594,68.2906,46.271,25.9087,1.0353,19.447,399.5076,21.5412,,,,,,,,,
516,18:00 28/11/2019,24.4707,30.761,59.5066,64.0347,37.7843,0.4729,23.9979,502.0076,31.8646,,,,,,,,,
517,19:00 28/11/2019,31.7757,34.6723,41.1975,145.5452,107.155,0.1074,31.6683,707.2348,91.0152,,,,,,,,,
518,20:00 28/11/2019,37.3915,22.6308,21.7148,154.7593,121.1359,0.2564,37.1351,662.9545,101.7857,,,,,,,,,
519,21:00 28/11/2019,28.9576,20.4828,26.868,174.0914,128.405,0.0018,28.9558,725.0,105.6453,,,,,,,,,
520,22:00 28/11/2019,26.4982,26.016,32.2888,149.008,99.0833,0.0,26.4982,600.928,81.1708,,,,,,,,,
521,23:00 28/11/2019,20.4992,31.6086,39.6069,112.1574,74.9934,0.0006,20.4986,482.519,63.684,,,,,,,,,
522,00:00 29/11/2019,15.3589,32.2812,44.4234,79.1178,50.975,0.0,15.3589,408.2576,41.0202,,,,,,,,,
523,01:00 29/11/2019,15.035,33.8303,41.0294,75.2814,44.9097,0.0,15.035,408.5606,34.6591,,,,,,,,,
524,02:00 29/11/2019,19.539,38.5593,34.4542,125.0994,80.7343,0.002,19.537,496.7045,64.7992,,,,,,,,,
525,03:00 29/11/2019,14.4116,32.7583,44.4851,98.7728,68.9212,0.0,14.4116,414.7917,57.5801,,,,,,,,,
526,04:00 29/11/2019,13.7263,29.016,45.528,67.1991,48.1673,0.0,13.7263,381.4205,40.0157,,,,,,,,,
527,05:00 29/11/2019,17.8433,26.4468,39.7121,84.587,58.9805,0.0,17.8433,407.6894,48.8025,,,,,,,,,
528,06:00 29/11/2019,14.3148,29.5096,43.2126,62.8361,46.4781,0.0,14.3148,348.5985,38.8994,,,,,,,,,
529,07:00 29/11/2019,20.0882,34.4838,36.757,119.2127,95.7437,0.1921,19.8961,498.0682,84.0852,,,,,,,,,
530,08:00 29/11/2019,15.1393,33.5942,36.8378,109.3622,86.289,0.0268,15.1125,440.1326,75.6676,,,,,,,,,
531,09:00 29/11/2019,15.5264,31.9592,43.548,99.9281,76.9529,0.0106,15.5158,452.4811,66.0359,,,,,,,,,
532,10:00 29/11/2019,13.8514,33.748,51.2109,65.5504,40.1443,0.2225,13.6289,404.9242,33.1021,,,,,,,,,
533,11:00 29/11/2019,16.9962,37.8599,59.8894,67.4896,46.21,1.3954,15.6008,446.3826,39.7394,,,,,,,,,
534,12:00 29/11/2019,13.8966,30.2952,76.2298,54.1633,33.9857,0.5998,13.2968,372.6704,28.8169,,,,,,,,,
535,13:00 29/11/2019,14.7688,28.1974,99.4894,63.1152,39.7289,0.2863,14.4826,372.6894,33.8316,,,,,,,,,
536,14:00 29/11/2019,15.6511,39.6426,120.0298,59.0484,38.7549,0.0398,15.6113,357.1402,33.1607,,,,,,,,,
537,15:00 29/11/2019,19.335,46.4538,138.7774,64.6508,42.5725,0.0345,19.3004,397.2727,36.502,,,,,,,,,
538,16:00 29/11/2019,21.3915,57.8119,156.1896,111.4706,78.3345,0.0,21.3915,471.3636,66.2192,,,,,,,,,
539,17:00 29/11/2019,21.814,56.7386,167.929,120.4679,83.9476,0.0067,21.8073,568.5833,71.0075,,,,,,,,,
540,18:00 29/11/2019,30.9233,59.5443,128.9066,150.9529,89.0721,0.0,30.9233,656.1742,69.2232,,,,,,,,,
541,19:00 29/11/2019,45.5043,93.977,95.171,247.0461,166.4476,0.0004,45.5039,1042.7084,139.0783,,,,,,,,,
542,20:00 29/11/2019,53.1743,78.9876,55.1326,207.9696,132.7106,0.0012,53.1731,1060.0757,111.5591,,,,,,,,,
543,21:00 29/11/2019,32.7909,35.9931,78.7251,143.0827,98.7383,0.0,32.7909,740.7576,85.097,,,,,,,,,
544,22:00 29/11/2019,28.869,30.8247,84.2108,116.3353,85.2551,0.0,28.869,720.4545,74.5216,,,,,,,,,
545,23:00 29/11/2019,31.3535,31.0743,85.4875,101.6707,75.8511,0.0004,31.3531,640.7386,66.0226,,,,,,,,,
546,00:00 30/11/2019,33.5648,31.0098,76.458,118.3404,88.8887,0.0,33.5648,755.625,76.9579,,,,,,,,,
547,01:00 30/11/2019,42.8756,28.9189,44.2698,147.8585,115.2597,0.8682,42.0074,720.7576,99.47,,,,,,,,,
548,02:00 30/11/2019,61.5114,27.2276,9.0194,129.2472,104.001,2.2855,59.2258,716.875,90.9254,,,,,,,,,
549,03:00 30/11/2019,56.7547,28.3188,9.3409,173.1766,140.3513,3.3202,53.4345,779.0151,121.1404,,,,,,,,,
550,04:00 30/11/2019,44.3876,27.2519,27.0495,246.8042,202.8424,0.0303,44.3574,874.053,173.3347,,,,,,,,,
551,05:00 30/11/2019,49.9173,23.4312,18.3425,157.6137,124.3939,1.0956,48.8217,753.7879,106.7765,,,,,,,,,
552,06:00 30/11/2019,32.1846,25.2785,25.6842,149.5366,116.7563,0.0041,32.1806,732.4811,102.1902,,,,,,,,,
553,07:00 30/11/2019,24.7398,28.4184,28.0405,164.2053,127.9915,0.0,24.7398,786.8182,112.0993,,,,,,,,,
554,08:00 30/11/2019,23.5782,31.4529,29.8279,130.8105,101.9032,0.0,23.5782,734.8438,89.043,,,,,,,,,
555,09:00 30/11/2019,41.1641,38.5695,17.9158,209.0378,153.7613,3.4373,37.7268,996.5278,129.1554,,,,,,,,,
556,10:00 30/11/2019,48.1289,44.4988,16.7434,262.6547,199.6302,7.0047,41.1242,1190.9202,165.3955,,,,,,,,,
557,11:00 30/11/2019,41.1404,51.1571,35.6598,255.3319,197.9518,4.0038,37.1366,1144.1494,167.8607,,,,,,,,,
558,12:00 30/11/2019,25.0988,39.4124,89.848,178.6731,137.5164,1.2222,23.8766,866.5278,119.3783,,,,,,,,,
559,13:00 30/11/2019,18.7224,30.7665,123.4823,107.7987,79.7832,0.0586,18.6637,523.1076,69.8375,,,,,,,,,
560,14:00 30/11/2019,21.2067,44.4237,136.1219,113.4253,79.2864,0.0958,21.1108,564.2014,67.4563,,,,,,,,,
561,15:00 30/11/2019,28.1997,64.0898,142.0669,217.5663,165.7104,0.0342,28.1655,748.559,133.6962,,,,,,,,,
562,16:00 30/11/2019,28.2189,62.5029,147.1342,171.4701,128.9843,0.0469,28.172,616.2674,110.1322,,,,,,,,,
563,17:00 30/11/2019,32.7869,76.6107,141.608,269.2181,192.4648,0.0145,32.7724,779.7396,156.3106,,,,,,,,,
564,18:00 30/11/2019,36.9832,83.6514,126.4373,249.094,194.4639,0.002,36.9811,876.7361,168.4688,,,,,,,,,
565,19:00 30/11/2019,58.7049,82.7636,58.9891,299.0937,230.7841,0.0216,58.6834,994.5312,194.7294,,,,,,,,,
566,20:00 30/11/2019,46.2354,51.6429,58.7093,216.4414,168.8757,0.0179,46.2176,953.6633,145.3042,,,,,,,,,
567,21:00 30/11/2019,43.4925,35.9975,59.7787,157.9226,116.6525,0.0119,43.4806,863.9062,97.9546,,,,,,,,,
568,22:00 30/11/2019,73.4115,49.5551,27.7742,157.7559,115.3268,0.1197,73.2919,764.7049,97.1867,,,,,,,,,
569,23:00 30/11/2019,101.7167,68.5907,11.7088,132.5161,92.439,3.2428,98.4739,660.6944,75.263,,,,,,,,,
570,00:00 01/12/2019,87.7813,65.9778,13.5134,140.0171,95.1827,0.9998,86.7815,736.1979,77.1474,,,,,,,,,
571,01:00 01/12/2019,83.9578,66.4823,12.1458,134.2223,93.3747,0.5349,83.4229,910.9374,76.6632,,,,,,,,,
572,02:00 01/12/2019,96.8327,67.8193,6.2784,128.8211,90.6571,4.1948,92.638,709.4965,73.6038,,,,,,,,,
573,03:00 01/12/2019,61.7145,57.8653,14.8093,120.7094,87.5363,4.3425,57.3719,648.4375,73.0864,,,,,,,,,
574,04:00 01/12/2019,23.3048,34.9409,34.0957,105.0834,82.0679,0.0073,23.2975,602.8125,70.1621,,,,,,,,,
575,05:00 01/12/2019,16.4383,25.4302,49.8527,90.3428,72.5259,0.0,16.4383,482.2396,63.0346,,,,,,,,,
576,06:00 01/12/2019,15.0459,28.9019,55.5903,90.8234,73.6294,0.0009,15.045,500.5382,64.1903,,,,,,,,,
577,07:00 01/12/2019,14.5857,31.9482,65.2841,74.098,59.0024,0.0,14.5857,430.2952,50.8145,,,,,,,,,
578,08:00 01/12/2019,16.9341,37.2773,70.3574,75.1228,55.8677,0.0,16.9341,486.4931,47.4628,,,,,,,,,
579,09:00 01/12/2019,17.7694,45.623,82.0701,77.547,55.8856,0.0,17.7694,456.9444,46.6875,,,,,,,,,
580,10:00 01/12/2019,18.7282,48.218,78.7413,88.5816,60.9353,0.0434,18.6848,453.559,49.9252,,,,,,,,,
581,11:00 01/12/2019,15.5055,45.5995,89.4676,82.1664,59.3307,0.0249,15.4806,406.0417,50.3878,,,,,,,,,
582,12:00 01/12/2019,13.7331,33.286,97.9086,77.0306,58.5,0.0341,13.699,390.0868,50.4697,,,,,,,,,
583,13:00 01/12/2019,10.9259,25.7118,108.0745,74.8282,56.075,0.0052,10.9207,365.1215,48.3484,,,,,,,,,
584,14:00 01/12/2019,10.8788,28.1662,100.2338,81.5936,62.7931,0.0,10.8788,414.1667,54.6552,,,,,,,,,
585,15:00 01/12/2019,14.1302,29.8377,83.1356,96.6767,74.78,0.0047,14.1255,569.6007,66.6292,,,,,,,,,
586,16:00 01/12/2019,19.7948,36.7423,82.0296,109.5821,91.9445,0.4161,19.3786,689.4445,83.3002,,,,,,,,,
587,17:00 01/12/2019,35.2585,44.5151,73.0072,142.5864,119.7508,4.7213,30.5373,936.2154,110.9563,,,,,,,,,
588,18:00 01/12/2019,23.1701,38.8177,66.2693,88.0013,74.8027,1.4699,21.7002,711.9097,69.9124,,,,,,,,,
589,19:00 01/12/2019,15.2589,30.1075,59.1337,55.5627,40.213,0.069,15.1899,577.0486,35.2376,,,,,,,,,
590,20:00 01/12/2019,11.8838,23.9585,53.272,58.0555,39.7306,0.0,11.8838,533.559,33.3362,,,,,,,,,
591,21:00 01/12/2019,10.2378,19.939,49.0306,42.2225,27.2223,0.0,10.2378,493.125,22.2711,,,,,,,,,
592,22:00 01/12/2019,9.1121,20.7064,46.426,26.9371,18.6449,0.0,9.1121,470.4861,15.2589,,,,,,,,,
593,23:00 01/12/2019,9.0068,21.4774,51.7692,27.5261,19.9194,0.0,9.0068,475.9028,16.3921,,,,,,,,,
594,00:00 02/12/2019,8.2979,21.8615,53.4592,27.47,17.7728,0.0,8.2979,475.2257,14.3123,,,,,,,,,
595,01:00 02/12/2019,8.1424,21.5128,53.1714,19.9841,12.6413,0.0,8.1424,477.8125,10.2477,,,,,,,,,
596,02:00 02/12/2019,7.7613,19.421,54.954,15.1364,8.8907,0.0,7.7613,473.1771,7.3688,,,,,,,,,
597,03:00 02/12/2019,7.8982,17.0547,50.9799,13.1077,8.6702,0.0,7.8982,469.375,7.414,,,,,,,,,
598,04:00 02/12/2019,7.4341,13.7852,51.5478,14.1667,9.6164,0.0,7.4341,459.4965,8.2038,,,,,,,,,
599,05:00 02/12/2019,7.8366,10.7032,50.6751,17.0596,11.9728,0.0,7.8366,452.9167,10.0762,,,,,,,,,
600,06:00 02/12/2019,7.3973,10.9884,55.2576,17.7977,13.7671,0.0,7.3973,437.5347,11.8851,,,,,,,,,
601,07:00 02/12/2019,7.7011,10.6714,61.7529,15.5769,10.5194,0.0,7.7011,418.9236,9.2273,,,,,,,,,
602,08:00 02/12/2019,10.6782,9.8825,57.5961,21.8278,14.9861,0.0,10.6782,445.0868,12.8962,,,,,,,,,
