STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa},InnerTemp(oC},,,,,
10409,21:00 03/04/2025,17.1358,8.8225,25.4992,89.2292,48.4633,2.625,14.9383,2800.5142,1014.0442,28.045,,,,,
10410,22:00 03/04/2025,20.6325,10.985,21.1592,98.7,48.8117,4.31,16.4292,3278.8742,1014.4417,26.6942,,,,,
10411,23:00 03/04/2025,21.3,16.51,18.2075,102.0725,42.8858,3.7717,17.595,3234.1267,1014.6758,25.6225,,,,,
10412,00:00 04/04/2025,17.3408,15.3142,7.6492,92.0833,39.4767,2.4117,14.9283,2509.1717,1014.62,25.9367,,,,,
10413,01:00 04/04/2025,13.6225,10.9433,12.5758,76.4717,37.1267,0.8733,13.1683,2169.7908,1014.4067,27.4567,,,,,
10414,02:00 04/04/2025,11.3908,9.1542,20.4292,77.4525,43.1075,0.2525,11.7117,1958.1258,1013.6792,28.0225,,,,,
10415,03:00 04/04/2025,14.2542,8.8883,16.8067,74.9675,39.9167,1.1442,13.465,2140.4242,1013.2358,28.2825,,,,,
10416,04:00 04/04/2025,13.8317,9.7867,11.4858,92.7558,48.8633,0.7783,13.8083,2337.1283,1013.0742,26.52,,,,,
10417,05:00 04/04/2025,10.2058,7.5092,17.1933,80.4225,40.4108,0.1317,11.0575,1990.6275,1013.2117,26.215,,,,,
10418,06:00 04/04/2025,10.9775,8.0067,18.7033,70.6392,35.3875,0.86,10.9017,2125.2233,1013.6508,26.1733,,,,,
10419,07:00 04/04/2025,7.8592,8.6458,22.2392,53.8017,31.7,0.1717,8.7117,2208.0158,1014.0092,27.6475,,,,,
10420,08:00 04/04/2025,7.3525,9.7233,27.1367,65.2,37.2025,0.2883,8.175,2559.195,1014.4267,28.1117,,,,,
10421,09:00 04/04/2025,9.78,9.77,27.175,70.6067,40.6808,0.8358,9.7325,2858.2,1014.9325,28.2817,,,,,
10422,10:00 04/04/2025,9.9317,8.735,36.0675,76.6758,50.9533,0.3383,10.1067,2554.2033,1014.86,26.4742,,,,,
10423,11:00 04/04/2025,8.2,7.2533,53.0358,79.37,44.6908,0.0917,8.8025,2383.59,1014.3317,25.5,,,,,
10424,12:00 04/04/2025,12.4025,7.6717,56.0042,78.6542,40.4308,2.0533,10.875,2809.3158,1013.3092,25.415,,,,,
10425,13:00 04/04/2025,13.73,9.7158,59.0517,65.925,35.9233,1.7158,12.425,2551.0358,1011.9542,27.6683,,,,,
10426,14:00 04/04/2025,10.2758,10.3342,51.17,68.5383,39.2633,0.4608,10.2217,2381.4617,1010.6042,28.0467,,,,,
10427,15:00 04/04/2025,12.7058,10.26,40.3625,73.2275,43.9358,1.3075,11.825,2713.1383,1009.4317,28.31,,,,,
10428,16:00 04/04/2025,12.4475,8.6067,55.4575,84.2425,50.9958,2.5175,10.51,2590.52,1008.5083,26.8467,,,,,
10429,17:00 04/04/2025,12.4708,6.87,52.9642,78.03,39.1808,1.1667,11.7275,2686.3933,1008.24,25.6,,,,,
10430,18:00 04/04/2025,12.92,6.7133,28.915,64.5167,23.1,1.7125,11.6208,3281.74,1008.6625,25.5467,,,,,
10431,19:00 04/04/2025,16.1367,6.8992,22.0225,52.245,20.8475,4.1317,12.35,3551.4842,1009.0983,27.7883,,,,,
10432,20:00 04/04/2025,18.8742,7.6208,6.7273,65.8433,31.0008,6.2308,12.8125,3887.2667,1009.8417,28.3692,,,,,
10433,21:00 04/04/2025,24.6842,9.6767,2.8214,69.16,33.4425,7.875,16.8133,3709.6067,1010.5942,28.435,,,,,
10434,22:00 04/04/2025,20.0333,8.2175,3.8336,73.2808,36.0708,6.0142,14.0717,3097.2025,1011.3967,27.2183,,,,,
10435,23:00 04/04/2025,16.1633,6.3408,5.3733,75.9808,31.8167,2.8158,13.4267,3113.4533,1011.9408,25.4558,,,,,
10436,00:00 05/04/2025,10.4442,5.5925,13.9867,60.81,23.9642,2.365,8.7508,2253.99,1012.0908,25.7142,,,,,
10437,01:00 05/04/2025,4.0592,5.7442,20.8708,54.9958,17.1858,0.0,5.5075,1894.7708,1012.0942,27.75,,,,,
10438,02:00 05/04/2025,2.7125,6.2442,21.39,51.3692,21.9842,0.0,3.4533,1811.7675,1011.9508,28.5325,,,,,
10439,03:00 05/04/2025,4.1292,5.8733,19.5875,40.6342,25.2217,0.0,5.05,1833.2358,1011.7575,28.705,,,,,
10440,04:00 05/04/2025,3.1483,5.2417,23.9567,66.8992,41.955,0.0,4.6858,1859.9658,1011.9825,26.4733,,,,,
10441,05:00 05/04/2025,3.065,5.13,22.3275,63.3258,35.15,0.0,4.5992,1857.065,1012.445,25.6217,,,,,
10442,06:00 05/04/2025,5.1075,4.9667,12.74,33.2475,28.5417,0.2608,6.0458,2040.2967,1013.1717,25.6733,,,,,
