No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Áp su?t khí quy?n(hPa},InnerTemp(oC},,,,,
1540,01:00 07/03/2024,6.5408,2.1775,31.725,78.0567,20.5667,2.0,4.54,2877.2333,1011.4633,27.1358,,,,,
1541,02:00 07/03/2024,6.3925,2.24,23.1925,67.9258,15.9092,1.7183,4.6825,2868.4125,1011.0725,27.0925,,,,,
1542,03:00 07/03/2024,6.886,2.213,26.92,70.77,37.641,1.917,4.97,2544.611,1011.061,28.091,,,,,
1543,04:00 07/03/2024,7.315,2.0675,24.3533,72.3317,41.995,1.6067,5.7075,2824.1667,1011.1525,28.16,,,,,
1544,05:00 07/03/2024,8.47,2.1933,27.0717,73.495,48.4225,1.9592,6.5142,2892.1883,1011.5842,28.29,,,,,
1545,06:00 07/03/2024,12.6217,2.6608,24.8033,77.0342,50.5408,3.8917,8.7292,2696.055,1012.3442,28.2942,,,,,
1546,07:00 07/03/2024,14.0425,2.4608,22.5792,86.3017,53.775,3.6267,10.4142,3225.3892,1013.2842,27.4808,,,,,
1547,08:00 07/03/2024,21.0983,2.3617,19.2767,98.4708,65.4375,7.1308,13.9667,3543.82,1014.2592,27.2483,,,,,
1548,09:00 07/03/2024,17.8467,2.215,19.6575,103.6533,78.3133,4.975,12.8717,3119.4917,1015.2842,27.1067,,,,,
1549,10:00 07/03/2024,13.6142,2.5283,17.2025,98.3908,79.2092,3.4092,10.205,3057.3917,1015.8733,27.0375,,,,,
1550,11:00 07/03/2024,11.835,3.8625,22.28,86.8042,69.4817,2.77,9.0675,2963.8808,1015.8683,27.9417,,,,,
1551,12:00 07/03/2024,15.0833,4.6033,31.8,80.1733,62.4725,4.65,10.435,3092.0525,1015.3592,28.2108,,,,,
1552,13:00 07/03/2024,13.0683,6.1258,30.7125,81.4408,55.9192,2.5892,10.4775,2888.745,1014.5408,28.3508,,,,,
1553,14:00 07/03/2024,16.2233,7.6483,7.365,83.9558,68.5592,3.6358,12.585,3003.2583,1013.5942,28.425,,,,,
1554,15:00 07/03/2024,18.9783,10.6783,20.22,112.2833,56.4167,4.0317,14.9483,3097.84,1013.0392,27.2875,,,,,
1555,16:00 07/03/2024,14.5467,7.5408,27.4775,130.7692,46.1775,2.88,11.6675,3101.5833,1012.76,26.6908,,,,,
1556,17:00 07/03/2024,12.735,4.9417,27.215,148.9642,63.1625,2.4775,10.2583,3135.6825,1012.6233,26.945,,,,,
1557,18:00 07/03/2024,11.59,3.4375,21.1775,159.02,100.2742,2.6383,8.9542,3141.725,1012.9217,27.1083,,,,,
1558,19:00 07/03/2024,11.17,3.395,24.5275,173.63,120.4908,2.6375,8.53,2908.5333,1013.7917,28.115,,,,,
1559,20:00 07/03/2024,13.435,3.4042,18.5067,161.0158,104.6933,3.0592,10.3758,2913.9967,1014.7667,28.2925,,,,,
1560,21:00 07/03/2024,9.8725,2.9358,25.515,136.7725,80.9475,2.805,7.0692,2854.12,1015.755,28.2383,,,,,
1561,22:00 07/03/2024,8.4225,2.69,25.5475,122.0933,71.2225,2.7708,5.6525,2835.6675,1016.2558,28.2942,,,,,
1562,23:00 07/03/2024,6.8592,2.4858,27.2108,112.6242,71.9617,2.6508,4.2083,2846.6575,1016.3183,27.6408,,,,,
1563,00:00 08/03/2024,7.6833,2.4942,25.4075,112.39,73.7358,2.9383,4.7433,2877.1342,1016.0883,27.4058,,,,,
1564,01:00 08/03/2024,7.9208,2.1533,26.2842,105.2517,70.4825,3.0617,4.8567,2915.4,1015.7125,27.3558,,,,,
1565,02:00 08/03/2024,9.05,2.8608,23.3917,100.9042,70.3492,3.0575,5.9917,2922.7983,1015.355,27.4033,,,,,
1566,03:00 08/03/2024,9.0117,2.3183,20.9867,98.0592,61.1642,3.1617,5.8508,2612.3425,1015.1708,28.1117,,,,,
1567,04:00 08/03/2024,8.3817,1.9542,17.1917,107.8308,69.1192,2.815,5.5667,2584.6317,1015.0142,28.315,,,,,
1568,05:00 08/03/2024,10.1125,1.8683,19.08,108.9892,78.7533,3.5308,6.58,2604.85,1015.4467,28.3508,,,,,
1569,06:00 08/03/2024,12.9425,1.8858,15.7958,111.5192,73.9742,4.5283,8.4142,2896.1042,1016.2158,28.3592,,,,,
