STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa}
2866,09:00 29/04/2024,2.8875,1.65,68.7927,60.035,35.3,1.115,1.7708,2864.7958,1003.8408
2867,10:00 29/04/2024,3.0467,1.5556,44.6211,66.4742,31.4033,1.1875,1.8608,2980.3267,1003.6783
2868,11:00 29/04/2024,3.0233,1.6244,76.56,81.8417,39.5858,1.0883,1.9333,2745.135,1003.2442
2869,12:00 29/04/2024,2.7325,1.455,69.324,84.55,49.96,1.03,1.7042,2914.445,1002.0658
2870,13:00 29/04/2024,3.1083,1.758,92.8625,88.7383,49.8567,0.9292,2.1792,3037.5725,1000.7633
2871,14:00 29/04/2024,2.5167,2.4773,101.9275,94.7575,51.7733,0.8075,1.7092,2857.46,999.2458
2872,15:00 29/04/2024,2.2958,2.3542,99.6067,92.8092,55.5383,0.8067,1.4883,2795.6725,998.0183
2873,16:00 29/04/2024,2.26,2.2258,92.181,91.2692,57.9892,0.765,1.4942,2777.4733,997.415
2874,17:00 29/04/2024,2.4792,2.5625,98.2475,98.6175,56.8842,0.8767,1.6033,2809.5417,997.1608
2875,18:00 29/04/2024,2.6408,2.39,96.425,93.805,56.1642,0.9175,1.7233,2921.7458,997.2242
2876,19:00 29/04/2024,2.5142,2.0473,89.8183,85.1775,55.2517,0.935,1.58,2985.0867,997.4867
2877,20:00 29/04/2024,2.4892,1.6437,78.428,85.0233,52.905,0.8675,1.6242,3047.1842,997.985
2878,21:00 29/04/2024,2.4025,1.5044,92.9558,91.9042,55.2642,0.8842,1.5167,2995.2558,998.56
2879,22:00 29/04/2024,2.3567,1.4678,47.4409,82.3225,55.8467,0.9167,1.4375,2947.1925,999.175
2880,23:00 29/04/2024,2.4125,1.3957,78.7673,80.6783,53.89,0.9083,1.5058,2842.0675,999.2392
2881,00:00 30/04/2024,2.37,1.23,55.49,74.9992,44.3392,0.9017,1.4683,2742.665,998.8283
2882,01:00 30/04/2024,3.125,1.2843,81.7525,68.2783,37.2842,0.9467,2.1792,2720.575,997.9717
2883,02:00 30/04/2024,2.4725,1.1,58.9775,65.6125,40.2042,0.8483,1.6242,2670.0342,997.3158
2884,03:00 30/04/2024,2.8208,-,60.9409,73.2483,48.6108,0.81,2.01,2669.8117,996.7133
2885,04:00 30/04/2024,2.945,-,55.075,73.3667,48.7317,0.7658,2.1783,2725.9425,996.7392
2886,05:00 30/04/2024,3.0525,1.375,93.5364,79.7783,48.5125,0.8383,2.2133,2774.6642,997.135
2887,06:00 30/04/2024,3.225,1.4575,44.7417,73.8642,42.2817,0.8275,2.3983,2784.38,997.9367
2888,07:00 30/04/2024,3.6592,1.84,46.335,75.0742,48.5175,0.8183,2.8392,2820.5292,998.8767
2889,08:00 30/04/2024,3.7792,1.849,65.3122,77.59,54.8208,0.9758,2.8042,3142.9192,999.755
2890,09:00 30/04/2024,3.4458,1.7282,85.3283,81.7,55.335,1.0158,2.43,3028.5867,1000.24
2891,10:00 30/04/2024,3.5783,1.7042,49.0391,78.7758,50.4242,1.0517,2.525,3242.6933,1000.2583
2892,11:00 30/04/2024,4.54,2.0391,77.14,84.8042,53.4192,1.5692,2.9717,3404.6225,999.7358
2893,12:00 30/04/2024,3.9375,2.338,91.497,94.01,61.7033,0.9467,2.9892,3438.4133,998.8833
2894,13:00 30/04/2024,4.0567,3.3675,119.4183,101.9367,66.3858,0.7633,3.2983,3097.6617,997.5875
2895,14:00 30/04/2024,3.3617,4.565,141.2625,108.4175,73.7458,0.7525,2.6083,3121.0483,996.0925
2896,15:00 30/04/2024,2.8558,5.0367,153.6375,111.3025,81.4033,0.765,2.0892,3159.9683,995.1167
2897,16:00 30/04/2024,2.775,4.335,141.6382,118.0933,86.5133,0.8267,1.95,3041.785,994.5325
2898,17:00 30/04/2024,2.9473,3.3564,129.0955,119.4327,85.7309,0.8845,2.0627,3110.3136,994.4645
2899,18:00 30/04/2024,3.031,2.976,118.56,114.736,84.77,0.899,2.131,3242.348,995.055
2900,19:00 30/04/2024,2.6483,2.0567,84.3692,111.1708,77.4842,0.8967,1.7508,2969.6675,995.8783
2901,20:00 30/04/2024,2.5625,1.8683,67.864,96.3983,65.5817,0.8883,1.675,3062.7083,996.98
2902,21:00 30/04/2024,2.3542,1.9767,97.25,101.285,63.2008,0.8442,1.5083,3044.9842,997.79
2903,22:00 30/04/2024,2.1075,1.6642,74.949,97.0933,60.3025,0.82,1.2883,2902.2733,998.605
2904,23:00 30/04/2024,1.9625,1.6964,79.7783,84.6633,57.3533,0.8467,1.1142,2828.6042,998.1567
